,year,team,conference,division,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
0,2017,Air Force,Mountain West,Mountain,12,5,7,0,8,4,4,0,6,3,3,0,6,2,4,0
1,2017,Akron,Mid-American,East,14,7,7,0,9,6,3,0,6,5,1,0,7,2,5,0
2,2017,Alabama,SEC,West,14,13,1,0,9,8,1,0,7,7,0,0,4,3,1,0
3,2017,Appalachian State,Sun Belt,,13,9,4,0,8,7,1,0,6,5,1,0,6,3,3,0
4,2017,Arizona,Pac-12,South,13,7,6,0,9,5,4,0,6,4,2,0,6,3,3,0
5,2017,Arizona State,Pac-12,South,13,7,6,0,9,6,3,0,7,5,2,0,5,2,3,0
6,2017,Arkansas,SEC,West,12,4,8,0,8,1,7,0,6,2,4,0,4,1,3,0
7,2017,Arkansas State,Sun Belt,,12,7,5,0,8,6,2,0,5,4,1,0,6,3,3,0
8,2017,Army,FBS Independents,,13,10,3,0,0,0,0,0,6,6,0,0,5,2,3,0
9,2017,Auburn,SEC,West,14,10,4,0,9,7,2,0,7,7,0,0,5,3,2,0
10,2017,Ball State,Mid-American,West,12,2,10,0,8,0,8,0,6,2,4,0,6,0,6,0
11,2017,Baylor,Big 12,,12,1,11,0,9,1,8,0,6,0,6,0,5,1,4,0
12,2017,Boise State,Mountain West,Mountain,14,11,3,0,9,8,1,0,7,6,1,0,6,4,2,0
13,2017,Boston College,ACC,Atlantic,13,7,6,0,8,4,4,0,6,2,4,0,5,4,1,0
14,2017,Bowling Green,Mid-American,East,12,2,10,0,8,2,6,0,5,0,5,0,7,2,5,0
15,2017,Buffalo,Mid-American,East,12,6,6,0,8,4,4,0,6,4,2,0,6,2,4,0
16,2017,BYU,FBS Independents,,13,4,9,0,0,0,0,0,6,2,4,0,6,2,4,0
17,2017,California,Pac-12,North,12,5,7,0,9,2,7,0,6,4,2,0,6,1,5,0
18,2017,Central Michigan,Mid-American,West,13,8,5,0,8,6,2,0,5,3,2,0,7,5,2,0
19,2017,Charlotte,Conference USA,East,12,1,11,0,8,1,7,0,6,1,5,0,6,0,6,0
20,2017,Cincinnati,American Athletic,East,12,4,8,0,8,2,6,0,6,2,4,0,6,2,4,0
21,2017,Clemson,ACC,Atlantic,14,12,2,0,9,8,1,0,7,7,0,0,5,4,1,0
22,2017,Coastal Carolina,Sun Belt,,12,3,9,0,8,2,6,0,6,2,4,0,6,1,5,0
23,2017,Colorado,Pac-12,South,12,5,7,0,9,2,7,0,6,3,3,0,5,1,4,0
24,2017,Colorado State,Mountain West,Mountain,13,7,6,0,8,5,3,0,6,4,2,0,5,3,2,0
25,2017,Connecticut,American Athletic,East,12,3,9,0,8,2,6,0,6,2,4,0,5,1,4,0
26,2017,Duke,ACC,Coastal,13,7,6,0,8,3,5,0,7,4,3,0,5,2,3,0
27,2017,East Carolina,American Athletic,East,12,3,9,0,8,2,6,0,7,2,5,0,5,1,4,0
28,2017,Eastern Michigan,Mid-American,West,12,5,7,0,8,3,5,0,5,3,2,0,7,2,5,0
29,2017,Florida,SEC,East,11,4,7,0,8,3,5,0,6,3,3,0,3,1,2,0
30,2017,Florida Atlantic,Conference USA,East,14,11,3,0,9,9,0,0,8,7,1,0,6,4,2,0
31,2017,Florida International,Conference USA,East,13,8,5,0,8,5,3,0,6,5,1,0,5,2,3,0
32,2017,Florida State,ACC,Atlantic,13,7,6,0,8,3,5,0,6,3,3,0,5,3,2,0
33,2017,Fresno State,Mountain West,West,14,10,4,0,9,7,2,0,6,5,1,0,7,4,3,0
34,2017,Georgia,SEC,East,15,13,2,0,10,8,2,0,6,6,0,0,5,4,1,0
35,2017,Georgia Southern,Sun Belt,,12,2,10,0,8,2,6,0,4,1,3,0,7,1,6,0
36,2017,Georgia State,Sun Belt,,12,7,5,0,8,5,3,0,5,1,4,0,6,5,1,0
37,2017,Georgia Tech,ACC,Coastal,11,5,6,0,8,4,4,0,6,5,1,0,4,0,4,0
38,2017,Hawai'i,Mountain West,West,12,3,9,0,8,1,7,0,6,2,4,0,6,1,5,0
39,2017,Houston,American Athletic,West,12,7,5,0,8,5,3,0,6,4,2,0,5,3,2,0
40,2017,Idaho,Sun Belt,,12,4,8,0,8,3,5,0,6,2,4,0,6,2,4,0
41,2017,Illinois,Big Ten,West,12,2,10,0,9,0,9,0,7,2,5,0,5,0,5,0
42,2017,Indiana,Big Ten,East,12,5,7,0,9,2,7,0,6,3,3,0,6,2,4,0
43,2017,Iowa,Big Ten,West,13,8,5,0,9,4,5,0,7,5,2,0,5,2,3,0
44,2017,Iowa State,Big 12,,13,8,5,0,9,5,4,0,6,3,3,0,7,5,2,0
45,2017,Kansas,Big 12,,12,1,11,0,9,0,9,0,7,1,6,0,5,0,5,0
46,2017,Kansas State,Big 12,,13,8,5,0,9,5,4,0,7,4,3,0,5,3,2,0
47,2017,Kent State,Mid-American,East,12,2,10,0,8,1,7,0,5,2,3,0,7,0,7,0
48,2017,Kentucky,SEC,East,13,7,6,0,8,4,4,0,7,4,3,0,5,3,2,0
49,2017,Louisiana,Sun Belt,,12,5,7,0,8,4,4,0,5,3,2,0,7,2,5,0
50,2017,Louisiana Monroe,Sun Belt,,12,4,8,0,8,4,4,0,5,2,3,0,7,2,5,0
51,2017,Louisiana Tech,Conference USA,West,13,7,6,0,8,4,4,0,7,3,4,0,5,3,2,0
52,2017,Louisville,ACC,Atlantic,13,8,5,0,8,4,4,0,6,4,2,0,5,3,2,0
53,2017,LSU,SEC,West,13,9,4,0,8,6,2,0,6,5,1,0,5,3,2,0
54,2017,Marshall,Conference USA,East,13,8,5,0,8,4,4,0,6,4,2,0,6,3,3,0
55,2017,Maryland,Big Ten,East,12,4,8,0,9,2,7,0,6,2,4,0,6,2,4,0
56,2017,Memphis,American Athletic,West,13,10,3,0,9,7,2,0,8,7,1,0,5,3,2,0
57,2017,Miami,ACC,Coastal,13,10,3,0,9,7,2,0,8,7,1,0,4,3,1,0
58,2017,Miami (OH),Mid-American,East,12,5,7,0,8,4,4,0,6,3,3,0,6,2,4,0
59,2017,Michigan,Big Ten,East,13,8,5,0,9,5,4,0,6,4,2,0,5,3,2,0
