Date,Home,Home Score,Away,Away Score,Location if Neutral Site
25-Aug-18,Hawai`i,43,Colorado St,34,
25-Aug-18,Duquesne,15,Massachusetts,63,
25-Aug-18,Wyoming,29,New Mexico St,7,
25-Aug-18,Prairie View A&M,28,Rice,31,
30-Aug-18,Savannah St,0,Alabama-Birmingham,52,
30-Aug-18,Central Conn St,6,Ball St,42,
30-Aug-18,Central Florida,56,Connecticut,17,
30-Aug-18,Kennesaw St,20,Georgia St,24,
30-Aug-18,SE Louisiana,31,Louisiana-Monroe,34,
30-Aug-18,New Mexico St,10,Minnesota,48,
30-Aug-18,Missouri St,17,Oklahoma St,58,
30-Aug-18,Northwestern,31,Purdue,27,
30-Aug-18,UC-Davis,44,San José St,38,
30-Aug-18,Northwestern St,7,Texas A&M,59,
30-Aug-18,Wake Forest,23,Tulane,17,
30-Aug-18,Weber St,10,Utah,41,
31-Aug-18,Colorado St,13,Colorado,45,Denver CO
31-Aug-18,Army,14,Duke,34,
31-Aug-18,Monmouth NJ,17,Eastern Michigan,51,
31-Aug-18,Utah St,31,Michigan St,38,
31-Aug-18,Portland St,19,Nevada,72,
31-Aug-18,San Diego St,10,Stanford,31,
31-Aug-18,Syracuse,55,Western Michigan,42,
31-Aug-18,Western Kentucky,3,Wisconsin,34,
01-Sep-18,Stony Brook,0,Air Force,38,
01-Sep-18,Louisville,14,Alabama,51,Orlando FL
01-Sep-18,Brigham Young,28,Arizona,23,
01-Sep-18,Texas-San Antonio,7,Arizona St,49,
01-Sep-18,Eastern Illinois,20,Arkansas,55,
01-Sep-18,SE Missouri St,21,Arkansas St,48,
01-Sep-18,Washington,16,Auburn,21,Atlanta GA
01-Sep-18,Abilene Christian,27,Baylor,55,
01-Sep-18,Massachusetts,21,Boston College,55,
01-Sep-18,Delaware St,10,Buffalo,48,
01-Sep-18,North Carolina,17,California,24,
01-Sep-18,Furman,7,Clemson,48,
01-Sep-18,Charleston Southern,6,Florida,53,
01-Sep-18,Indiana,38,Florida Int'l,28,
01-Sep-18,Idaho,13,Fresno St,79,
01-Sep-18,Austin Peay,0,Georgia,45,
