Rank,Team,Record,SoS,SoS Rank,ELO,Change
1,Clemson,15-0,45.875,13,1795.0,1
2,Alabama,14-1,49.812,25,1747.17,-1
3,Ohio State,13-1,48.8,21,1722.6,0
4,Oklahoma,12-2,45.333,10,1681.17,0
5,Notre Dame,12-1,49.357,23,1680.88,0
6,Central Florida,12-1,65.857,77,1669.64,0
7,Georgia,11-3,46.6,16,1649.14,0
8,Michigan,10-3,44.857,9,1642.01,0
9,Penn State,9-4,46.571,15,1641.07,0
10,Washington St,11-2,63.857,72,1634.15,0
11,LSU,10-3,48.857,22,1633.27,0
12,Syracuse,10-3,60.143,60,1632.05,0
13,Texas,10-4,47.267,18,1630.49,0
14,Utah St,11-2,81.286,121,1628.39,0
15,Washington,10-4,52.667,40,1627.66,0
16,Iowa,9-4,51.857,37,1624.31,0
17,Fresno St,12-2,74.2,103,1623.24,0
18,Appalachian St,11-2,79.286,113,1622.46,0
19,Boise St,10-3,61.857,64,1619.23,0
20,Texas A&M,9-4,45.643,11,1616.65,0
21,Army,11-2,77.857,107,1608.93,0
22,Florida,10-3,54.929,47,1608.63,0
23,Cincinnati,11-2,72.286,93,1599.98,0
24,Missouri,8-5,51.429,31,1596.58,0
25,Mississippi St,8-5,48.286,19,1595.59,0
26,Northwestern,9-5,43.867,8,1591.36,0
27,Kentucky,10-3,53.357,44,1585.26,0
28,North Carolina St,9-4,60.286,61,1584.06,0
29,Auburn,8-5,53.357,42,1581.02,0
30,Iowa St,8-5,51.0,28,1580.58,0
31,Ohio U.,9-4,81.786,122,1575.99,0
32,Wisconsin,8-5,52.857,41,1575.52,0
33,Stanford,9-4,55.786,51,1575.2,0
34,West Virginia,8-4,51.615,36,1573.54,0
35,Utah,9-5,51.6,35,1572.28,0
36,Michigan St,7-6,45.857,12,1565.66,0
37,Boston College,7-5,56.0,52,1559.32,0
38,Troy,10-3,80.214,118,1554.65,0
39,Temple,8-5,66.571,79,1554.27,0
40,Memphis,8-6,73.2,97,1554.03,0
