Date,Home,Home Score,Away,Away Score,Location if Neutral Site
25-Aug-18,Hawai`i,43,Colorado St,34,
25-Aug-18,Duquesne,15,Massachusetts,63,
25-Aug-18,Wyoming,29,New Mexico St,7,
25-Aug-18,Prairie View A&M;,28,Rice,31,
30-Aug-18,Savannah St,0,Alabama-Birmingham,52,
30-Aug-18,Central Conn St,6,Ball St,42,
30-Aug-18,Central Florida,56,Connecticut,17,
30-Aug-18,Kennesaw St,20,Georgia St,24,
30-Aug-18,SE Louisiana,31,Louisiana-Monroe,34,
30-Aug-18,New Mexico St,10,Minnesota,48,
30-Aug-18,Missouri St,17,Oklahoma St,58,
30-Aug-18,Northwestern,31,Purdue,27,
30-Aug-18,UC-Davis,44,San José St,38,
30-Aug-18,Northwestern St,7,Texas A&M;,59,
30-Aug-18,Wake Forest,23,Tulane,17,
30-Aug-18,Weber St,10,Utah,41,
31-Aug-18,Colorado St,13,Colorado,45,Denver CO
31-Aug-18,Army,14,Duke,34,
31-Aug-18,Monmouth NJ,17,Eastern Michigan,51,
31-Aug-18,Utah St,31,Michigan St,38,
31-Aug-18,Portland St,19,Nevada,72,
31-Aug-18,San Diego St,10,Stanford,31,
31-Aug-18,Syracuse,55,Western Michigan,42,
31-Aug-18,Western Kentucky,3,Wisconsin,34,
01-Sep-18,Stony Brook,0,Air Force,38,
01-Sep-18,Louisville,14,Alabama,51,Orlando FL
01-Sep-18,Brigham Young,28,Arizona,23,
01-Sep-18,Texas-San Antonio,7,Arizona St,49,
01-Sep-18,Eastern Illinois,20,Arkansas,55,
01-Sep-18,SE Missouri St,21,Arkansas St,48,
01-Sep-18,Washington,16,Auburn,21,Atlanta GA
01-Sep-18,Abilene Christian,27,Baylor,55,
01-Sep-18,Massachusetts,21,Boston College,55,
01-Sep-18,Delaware St,10,Buffalo,48,
01-Sep-18,North Carolina,17,California,24,
01-Sep-18,Furman,7,Clemson,48,
01-Sep-18,Charleston Southern,6,Florida,53,
01-Sep-18,Indiana,38,Florida Int'l,28,
01-Sep-18,Idaho,13,Fresno St,79,
01-Sep-18,Austin Peay,0,Georgia,45,
01-Sep-18,South Carolina St,6,Georgia Southern,37,
01-Sep-18,Alcorn St,0,Georgia Tech,41,
01-Sep-18,Navy,41,Hawai`i,59,
01-Sep-18,Kent St,24,Illinois,31,
01-Sep-18,Northern Illinois,7,Iowa,33,
01-Sep-18,Nicholls St,26,Kansas,23,
01-Sep-18,South Dakota,24,Kansas St,27,
01-Sep-18,Central Michigan,20,Kentucky,35,
01-Sep-18,Old Dominion,10,Liberty,52,
01-Sep-18,Grambling St,17,Louisiana-Lafayette,49,
01-Sep-18,Texas,29,Maryland,34,Landover MD
01-Sep-18,Mercer,14,Memphis,66,
01-Sep-18,Marshall,35,Miami OH,28,
01-Sep-18,Stephen F. Austin,6,Mississippi St,63,
01-Sep-18,Tennessee-Martin,14,Missouri,51,
01-Sep-18,Incarnate Word,30,New Mexico,62,
01-Sep-18,James Madison,13,North Carolina St,24,
01-Sep-18,SMU,23,North Texas,46,
01-Sep-18,Michigan,17,Notre Dame,24,
01-Sep-18,Oregon St,31,Ohio State,77,
01-Sep-18,Howard,32,Ohio U.,38,
01-Sep-18,Florida Atlantic,14,Oklahoma,63,
01-Sep-18,Bowling Green,24,Oregon,58,
01-Sep-18,Appalachian St,38,Penn State,45,
01-Sep-18,Albany NY,7,Pittsburgh,33,
01-Sep-18,Houston,45,Rice,27,
01-Sep-18,Texas St-San Marcos,7,Rutgers,35,
01-Sep-18,Louisiana Tech,30,South Alabama,26,
01-Sep-18,Coastal Carolina,15,South Carolina,49,
01-Sep-18,Elon,14,South Florida,34,
01-Sep-18,UNLV,21,Southern Cal,43,
01-Sep-18,Jackson St,7,Southern Miss,55,
01-Sep-18,Southern U.,7,TCU,55,
01-Sep-18,Villanova,19,Temple,17,
01-Sep-18,West Virginia,40,Tennessee,14,Charlotte NC
01-Sep-18,Mississippi,47,Texas Tech,27,Houston TX
01-Sep-18,VMI,3,Toledo,66,
01-Sep-18,Boise St,56,Troy,20,
01-Sep-18,Central Arkansas,27,Tulsa,38,
01-Sep-18,Cincinnati,26,UCLA,17,
01-Sep-18,Fordham,10,UNC-Charlotte,34,
01-Sep-18,Northern Arizona,30,UTEP,10,
01-Sep-18,Middle Tennessee St,7,Vanderbilt,35,
01-Sep-18,Richmond,13,Virginia,42,
01-Sep-18,Washington St,41,Wyoming,19,
